| min | final | max | max abs |
| -13 | 16 | 24 | 24 |
| -57 | -54 | 16 | 57 |
| -3 | 10 | 16 | 16 |
| -38 | -22 | 12 | 38 |
| -7 | 36 | 39 | 39 |
| -10 | 58 | 71 | 71 |
| -7 | 6 | 16 | 16 |
| -16 | -2 | 22 | 22 |
| -29 | -26 | 15 | 29 |
| 0 | 58 | 59 | 59 |
| -42 | -32 | 5 | 42 |
| -23 | 54 | 54 | 54 |
| -3 | 4 | 39 | 39 |
| -62 | -60 | 11 | 62 |
| -10 | 20 | 38 | 38 |
| -15 | 34 | 36 | 36 |
| -49 | -42 | -1 | 49 |
| -45 | -22 | 5 | 45 |
| -1 | 28 | 38 | 38 |
| -34 | -26 | 4 | 34 |
| -18 | -4 | 32 | 32 |
| -43 | -10 | 9 | 43 |
| -40 | -8 | 6 | 40 |
| -12 | 2 | 28 | 28 |
| -14 | 4 | 28 | 28 |
| -11 | 4 | 34 | 34 |
| -38 | -36 | 2 | 38 |
| -13 | 26 | 37 | 37 |
| -13 | 50 | 60 | 60 |
| 1 | 16 | 39 | 39 |
| -43 | -30 | -1 | 43 |
| -33 | -12 | 5 | 33 |
| -28 | -18 | 8 | 28 |
| -16 | 16 | 19 | 19 |
| -13 | -4 | 12 | 13 |
| -15 | 2 | 24 | 24 |
| -9 | -6 | 36 | 36 |
| -47 | -46 | 7 | 47 |
| -11 | -10 | 19 | 19 |
| -16 | 4 | 21 | 21 |
| -45 | -30 | 4 | 45 |
| -22 | -6 | 14 | 22 |
| -26 | 4 | 5 | 26 |
| -22 | -18 | 16 | 22 |
| -54 | -34 | 2 | 54 |
| -32 | -6 | 7 | 32 |
| 0 | 14 | 30 | 30 |
| -9 | 0 | 30 | 30 |
| -7 | 4 | 21 | 21 |
| -63 | -38 | 5 | 63 |
| -50 | 10 | 10 | 50 |
| -26 | 8 | 32 | 32 |
| -45 | -32 | 5 | 45 |
| -11 | 4 | 34 | 34 |
| -53 | -38 | 19 | 53 |
| -54 | -50 | 3 | 54 |
| -24 | 26 | 30 | 30 |
| -16 | 8 | 10 | 16 |
| -70 | -70 | 2 | 70 |
| -39 | -20 | 4 | 39 |
| -17 | 2 | 27 | 27 |
| -23 | 20 | 20 | 23 |
| -2 | 34 | 45 | 45 |
| -30 | 6 | 19 | 30 |
| -11 | 12 | 24 | 24 |
| -28 | -26 | 12 | 28 |
| -3 | 38 | 42 | 42 |
| -20 | 12 | 13 | 20 |
| -2 | 64 | 68 | 68 |
| -27 | -6 | 8 | 27 |
| -9 | -8 | 31 | 31 |
| -47 | -44 | 8 | 47 |
| -10 | 54 | 67 | 67 |
| -4 | 28 | 30 | 30 |
| -44 | -40 | 11 | 44 |
| -3 | 44 | 58 | 58 |
| -19 | -2 | 20 | 20 |
| -36 | -28 | 10 | 36 |
| 1 | 54 | 64 | 64 |
| -53 | -46 | 3 | 53 |
| -29 | -8 | 26 | 29 |
| -13 | 16 | 31 | 31 |
| -7 | 30 | 46 | 46 |
| -21 | -16 | 6 | 21 |
| -28 | -26 | 8 | 28 |
| -27 | -10 | 13 | 27 |
| -63 | -40 | 2 | 63 |
| -3 | 42 | 53 | 53 |
| -48 | -28 | 4 | 48 |
| -62 | -38 | 4 | 62 |
| -26 | -24 | 8 | 26 |
| -37 | -10 | 0 | 37 |
| -17 | 28 | 28 | 28 |
| -17 | -6 | 38 | 38 |
| -33 | -30 | 19 | 33 |
| -53 | -50 | 12 | 53 |
| -7 | 62 | 66 | 66 |
| -31 | -16 | 17 | 31 |
| -5 | 26 | 32 | 32 |
| -41 | -8 | 14 | 41 |
| -41 | -38 | 11 | 41 |
| -20 | 26 | 30 | 30 |
| -43 | -14 | 11 | 43 |
| -26 | 10 | 31 | 31 |
| -20 | 14 | 26 | 26 |
| -49 | -48 | 3 | 49 |
| -3 | 12 | 26 | 26 |
| -16 | 16 | 19 | 19 |
| -51 | -40 | 13 | 51 |
| -6 | 30 | 52 | 52 |
| -14 | 4 | 28 | 28 |
| -15 | 16 | 42 | 42 |
| -17 | 40 | 44 | 44 |
| 1 | 28 | 38 | 38 |
| -16 | 16 | 22 | 22 |
| -33 | -30 | 6 | 33 |
| -12 | 22 | 31 | 31 |
| -17 | 10 | 28 | 28 |
| -56 | -32 | 6 | 56 |
| -35 | -30 | 16 | 35 |
| -42 | -28 | 16 | 42 |
| -19 | 20 | 24 | 24 |
| -12 | 24 | 39 | 39 |
| -38 | -22 | 4 | 38 |
| -52 | -32 | 3 | 52 |
| -7 | 12 | 25 | 25 |
| -48 | -46 | 9 | 48 |
| -12 | -12 | 25 | 25 |
| -15 | -8 | 13 | 15 |
| -15 | 38 | 38 | 38 |
| -21 | -18 | 25 | 25 |
| -39 | -32 | 2 | 39 |
| -35 | -12 | 18 | 35 |
| -4 | 36 | 48 | 48 |
| -2 | 12 | 33 | 33 |
| -9 | 28 | 28 | 28 |
| -6 | 42 | 63 | 63 |
| -20 | -12 | 17 | 20 |
| -45 | -12 | 5 | 45 |
| -1 | 40 | 61 | 61 |
| -10 | 12 | 22 | 22 |
| -4 | 54 | 79 | 79 |
| -47 | -34 | 10 | 47 |
| -46 | -42 | 2 | 46 |
| -25 | 14 | 27 | 27 |
| -9 | 16 | 23 | 23 |
| -66 | -66 | 13 | 66 |
| -8 | 46 | 55 | 55 |
| -52 | -20 | 4 | 52 |
| -50 | -42 | 3 | 50 |
| -2 | 52 | 85 | 85 |
| -27 | 28 | 34 | 34 |
| -22 | 28 | 37 | 37 |
| -21 | 2 | 21 | 21 |
| -1 | 46 | 54 | 54 |
| -77 | -76 | 5 | 77 |
| -37 | -14 | 5 | 37 |
| -5 | 12 | 23 | 23 |
| -60 | -50 | 10 | 60 |
| -4 | 42 | 48 | 48 |
| -30 | 2 | 18 | 30 |
| -47 | -38 | 3 | 47 |
| -4 | 12 | 34 | 34 |
| -24 | 20 | 31 | 31 |
| -22 | 14 | 20 | 22 |
| -3 | 32 | 34 | 34 |
| -62 | -60 | 3 | 62 |
