| min_x | final_x | max_x | max_abs_x | min_y | final_y | max_y | max_abs_y |
| -15 | 61 | 72 | 72 | -85 | -67 | 9 | 85 |
| -31 | -25 | 36 | 36 | -124 | -107 | 0 | 124 |
| -5 | 193 | 212 | 212 | -129 | -101 | 16 | 129 |
| -67 | -34 | 20 | 67 | -87 | -82 | 1 | 87 |
| -118 | -106 | 4 | 118 | -14 | 56 | 123 | 123 |
| -99 | -66 | 1 | 99 | -24 | -4 | 36 | 36 |
| -31 | -21 | 52 | 52 | -23 | 75 | 81 | 81 |
| -20 | 31 | 84 | 84 | -71 | -45 | 3 | 71 |
| -3 | 42 | 82 | 82 | 0 | 42 | 101 | 101 |
| -8 | 156 | 192 | 192 | -32 | 10 | 48 | 48 |
| -89 | 40 | 99 | 99 | -26 | -26 | 64 | 64 |
| -111 | -107 | 15 | 111 | -72 | -59 | 12 | 72 |
| -46 | 45 | 52 | 52 | -88 | 17 | 24 | 88 |
| -35 | 48 | 94 | 94 | -18 | 12 | 41 | 41 |
| -76 | -56 | 50 | 76 | -55 | -44 | 16 | 55 |
| -30 | 85 | 100 | 100 | -28 | 115 | 148 | 148 |
| -21 | 14 | 77 | 77 | -59 | -18 | 51 | 59 |
| -149 | -109 | 14 | 149 | -2 | 15 | 90 | 90 |
| -150 | -143 | 14 | 150 | -36 | 135 | 138 | 138 |
| -129 | -95 | 11 | 129 | -69 | -65 | 16 | 69 |
| -96 | -56 | 29 | 96 | -20 | 10 | 57 | 57 |
| -43 | -12 | 47 | 47 | -34 | -10 | 53 | 53 |
| -21 | 10 | 80 | 80 | -37 | 66 | 94 | 94 |
| -66 | -61 | 44 | 66 | 0 | 37 | 80 | 80 |
| -3 | 102 | 149 | 149 | -25 | 126 | 147 | 147 |
| -20 | 29 | 76 | 76 | -67 | -1 | 12 | 67 |
| -20 | 77 | 94 | 94 | -50 | -29 | 33 | 50 |
| -35 | 53 | 109 | 109 | -143 | -139 | 33 | 143 |
| -80 | -48 | 13 | 80 | -13 | 192 | 198 | 198 |
| -48 | -43 | 21 | 48 | -32 | -5 | 27 | 32 |
| -1 | 10 | 66 | 66 | -99 | -62 | 21 | 99 |
| -46 | 4 | 22 | 46 | -58 | -50 | 21 | 58 |
| -65 | -6 | 32 | 65 | -39 | -32 | 26 | 39 |
| -5 | 53 | 82 | 82 | -7 | 249 | 260 | 260 |
| -44 | 34 | 86 | 86 | -108 | -92 | 2 | 108 |
| -93 | -84 | 52 | 93 | -46 | -24 | 20 | 46 |
| -2 | 65 | 136 | 136 | -27 | 43 | 63 | 63 |
| -67 | -24 | 11 | 67 | -112 | -102 | 12 | 112 |
| -26 | 77 | 97 | 97 | -117 | -111 | 4 | 117 |
| -55 | -10 | 25 | 55 | -101 | -14 | 6 | 101 |
| -3 | 118 | 128 | 128 | -146 | -98 | 1 | 146 |
| -79 | -1 | 27 | 79 | -41 | -41 | 46 | 46 |
| -27 | 5 | 56 | 56 | -16 | 37 | 98 | 98 |
| -180 | -178 | 7 | 180 | -23 | 70 | 100 | 100 |
| -63 | 42 | 69 | 69 | -10 | 76 | 85 | 85 |
| -83 | -45 | 4 | 83 | -6 | 99 | 159 | 159 |
| -54 | 10 | 29 | 54 | -1 | 140 | 161 | 161 |
| -74 | -34 | 3 | 74 | -124 | -118 | 13 | 124 |
| -31 | 16 | 54 | 54 | -43 | 78 | 97 | 97 |
